n12913851,业务员代刷7.79亿元保费 南山人寿遭重罚
n13084288,西沙巡航 美军强硬回击中共 发三张现场照
n13084709,【时事纵横】疫苗打出怪现象 陆公务员也成韭菜
n13084687,【新闻看点】美发火药味警告 中共罕有密集军演
n13085033,传上海复星一度索要台湾人医疗记录遭拒
n13085283,日新版防卫白皮书 首明载台湾局势稳定重要性
n13085110,日本第三度送暖 再捐赠台湾百万剂AZ疫苗
n13085446,台湾疫苗预约平台 开放18岁以上意愿登记
n13085377,台湾7/13增28例本土病例 6例死亡
n13085297,“永远的绿叶”台资深演员高振鹏辞世 享寿91岁
n13085661,巨石强森《丛林奇航》 人气游乐设施改拍成电影
n13085636,《勇者动画系列》原声带 阿信担任音乐总监
n13085637,【疫情7.13】FDA警告强生疫苗另一副作用
n13086064,禁止转换雇主致移工失业 劳团：应给予补偿
n13086066,北市确诊连2天少于10例 家户疫调是关键
n13086074,国旅团13日首发 观光局吁创意包装
n13086117,台出国留学创5年新高 韩国、德国增幅高
n13086120,高中免试入学放榜 录取率99.15%创新高
n13086123,苗县府疑违反公祭禁令 议员要求卫生局开罚
n13086190,张忠谋接APEC领袖代表 蔡英文交办2主张
n13086185,今起午后雷阵雨增 下周不排除有台风生成
n13086179,创同期新高 国银5月对中小企放款增千亿元
n13086115,网路交友申诉案增 美容服务业不当销售最多
n13086113,蓝营轰：微解封标准不一百业无所适从
n13086029,钰叡收购菱光 金管会：2特殊情况才能中止
n13086109,疫苗第2类接种人数飙 时力吁指挥中心说明
n13086107,幼儿园解封 苏贞昌：还要再等等
n13086290,日新防卫白皮书 首载台稳定重要性
n13086307,台产业月薪平均4.2万 电子制造业最高
n13086303,无薪假人数攀升 陈冲：调整工资无客观标准
n13086298,台因疫减薪 5成国人贷款压力山大
n13086010,日本三度援台 百万剂AZ疫苗15日运送
n13085083,台湾查获网售大陆伪农药 逮捕八名嫌犯
n13087012,【新闻看点】日防卫书挺台2突破 台湾应谢谁？
n13087396,日防卫白皮书提台海稳定 台湾：合作维护和平
n13087420,学者：日本防卫白皮书显示对中战略走向清晰
n13087698,经典台剧登网路平台 苏晏霈开心《幸福》重现
n13087914,前美国安顾问奥布莱恩加入美台关系研究智库
n13087918,《王冠》、《曼达洛人》同时入围24项艾美奖
n13087895,法驻台代表肯定台湾防疫 盼台法扩大合作
n13088210,【疫情7.14】英伊丽莎白女王号航母爆疫情
n13087992,宝妈打疫苗前夕恐慌症发作 曾宝仪陪同施打
n13088390,绿委：三批疫苗空运抵台共187万剂
n13088413,中俄大外宣“疫苗外交”德外长：包藏祸心
n13088417,自行到案诱因不足 立委吁失联移工合法化
n13088455,两大关键原因 NCC否决中天综合台申请
n13088457,正视消防员创伤压力 时力吁建三级制度
n13088459,远距教学成效差 近6成学校认为要暑期学扶
n13088462,气象局估花莲未来一周仍有规模5以上余震
n13088465,李琴峰成台首位芥川奖得主
n13088472,总统杯黑客松征件延长 7／30前都能提案
n13088468,吸毒弑母案无罪惹议 高院逆转改判无期徒刑
n13089070,违背承诺 中共在南海人工岛开始常规飞行
n13089097,【唐浩视界】台湾买千万疫苗 中共尴尬挡不住
n13089305,【远见快评】日防卫白皮书破三纪录 一图惊天下
n13089000,分析：从紫光集团被申请破产看中国产业困境
n13089723,好市多：卫生局通知内湖店有确诊者足迹
n13089672,指挥中心高EQ应答 医赞：看完的可应征客服
n13089623,日防卫白皮书封面为军神  学者：展抗共决心
n13089905,萧煌奇献“云录制”首秀 松口认有交往对象
n13090019,台湾7/15增14例本土病例 6例死亡
n13089691,白宫中国事务主任新书 揭美对华战略更强硬
n13090113,AIT新处长孙晓雅上任 盼让美台关系更上层楼
n13090171,艾玛史东演《库伊拉》笑声恐怖“被自己吓坏”
n13090169,AIT处长郦英杰卸任离台 挥手道别说后会有期
n13088089,美军C-146A行政专机抵台 外交部：不评论
n13090754,裕隆董事长：将乐观看待下半年台湾车市
n13090786,菲律宾东方热带扰动不排除成台 仍待观察
n13090504,3批疫苗抵台 台湾疫苗总量近900万剂
n13090756,台第三轮意愿登记延长至7／19中午12时收单
n13090800,台业者纾困贷款碰壁 吁立专责银行
n13090798,台教师资格考17日登场 一间试场只排20人
n13090788,“疫”职难求 立委吁延长青年就业奖励
n13090795,外媒：台湾晶片出口亮眼 掩盖服务业困境
n13090752,公发公司Q2财报缴不出来 可申请展延
n13090864,防疫津贴遭苛扣 时力吁卫福部订统一标准
n13090793,6月大雨致蔬菜较去年贵近4成
n13090790,台积电Q2毛利率守住5成 Q3营收估成长逾1成再创高
n13090924,7/26降级？ 陈宗彦：仍需整体评估
n13090927,美军机降落台北松山机场 中共跳脚
n13090929,月底解封？ 侯友宜：要做好评估严格把关
n13090943,解严34周年 游锡堃：盼给香港借镜民主而非极权
n13090941,生技公司设疫苗预约钓鱼网页 窃个资遭法办
n13090939,中小学教师列第7类却尚未施打 教团吁加速
n13090931,台北市确诊者公布足迹 上周逛大卖场
n13091027,AIT处长任期届满离台 郦英杰：后会有期
n13091019,唐凤赴东奥 日网友盼协助改善疫苗预约系统
n13091023,三级警戒重创零售业 网购降低冲击
n13091021,助中国封测厂在台非法营运 3主管遭起诉
n13091017,泰国限制AZ出口？AZ总公司：尚未同意
n13091142,新北首季住宅看涨 多区达实价登录以来高点
n13091137,国际海洋艺术中途岛特展 生态浩劫的省思
n13091144,今年地方特考12/11举行 增设宜兰考区
n13091153,炎夏与疫情推升冷冻空调技师职缺增三成
n13091201,青年就业奖励独漏役男 立委吁放宽申请资格
n13091203,台东奥参赛选手66人创纪录 19日包机赴日
n13091032,谢金河：美中角力进金融战深水区 脱钩序幕
n13092035,【时事纵横】李克强拍桌喊抓人 美军机闪电访台
n13092060,【秦鹏直播】美机再抵台 中共态度大变 嘴硬腿软
n13092023,【新闻看点】美军机访台 中共叫嚣泄露四担忧
n13092472,斯洛伐克赠台1万剂疫苗 台湾感谢
n13092078,【横河观点】美军机降台有何深意 中共严重威胁
n13092894,台湾7/16增29例本土病例 4例死亡
n13093036,疫情下迎31岁 郭书瑶：能有再一次难得可贵
n13093035,TIFA会谈美台携手 贸易北约恐成中共下个噩梦
n13093529,台本土病例又回升！今确诊+29 、4人染疫病逝
n13093557,暑假好惨 台学生不能玩乐 打工机会少5成
n13093555,台无薪假人数攀升至3.1万创新高 住宿餐饮业近半
n13093618,陈柏惟罢免案 不与公投合并 延至10月23日投票
n13093620,技术士检定因疫情延期 教团吁研议报名弹性措施
n13093622,艺Fun剧场 周末6部精彩作品上线
n13093611,杨源明接任北市警长 蔡苍柏接任中警
n13093605,防疫宅在家 台朝野立委吁冻涨夏月电价
n13093540,台北地下街K区群聚累计5例 封闭至18日
n13093602,斯洛伐克赠台疫苗“小动作大意义”
n13093547,解封有望 台学者：应强化检测与居家快筛认证
n13093687,再传疫苗混打争议 台指挥中心：罚则由法制组研议
n13093679,投稿期刊被要求加中国 教授：中共打压学术自由
n13093677,陆委会：台湾主流民意拒中共军事威吓
n13093683,台德签署航空服务协议
n13093726,美众院外委会通过抗中共《鹰法》 挺台驻处正名
n13093729,竹市疫苗覆盖率 可望超前达25% 蔡英文赞第一
n13093766,第7波疫苗开打 嘉义县近4万人登记接种
n13093776,疫情降温 立委要求公布全台解封策略
n13093721,斯洛伐克赠疫苗只是首步 大型访团9月将来台
n13093685,中共一带一路留下债务和废墟 亚非多国掉陷阱
n13093616,谢斯洛伐克援赠 林飞帆批中共操作疫苗霸凌
n13093905,APEC临时峰会声明 鼓励扩大疫苗制造共享
n13092447,【拍案惊奇】习换侍卫长 美专家高招防中共侵台
n13094924,孙晓雅上任AIT处长首发文 赞台湾好美
n13095101,台湾7/17增8例本土病例 1例死亡
n13095230,台湾即起开放车内饮食 但某情况车内人需戴口罩
n13095106,日本防卫白皮书提台湾 学者：透露局势紧张
n13095360,美国“不支持台湾独立”专家：有两层涵义
n13095330,蔡英文感谢斯洛伐克赠疫苗 民主国家相互支持
n13095467,日政坛连续友台发言  分析：显积极抗共决心
n13095673,美NGO着眼民主经验及假讯息因应 来台设点
n13096272,台风烟花已形成 何时最接近台湾？
n13096172,王友群：财政吃紧？中共仍疯狂挥霍百姓血汗钱
n13096612,台湾7/18增15例本土病例 4例死亡
n13096752,【疫情7.18】东京奥运村首例 两选手染疫
n13096961,东元股东会23日召开前 父子之争再攻防
n13096958,紫光触手曾伸向台湾 中资如“唐吉轲德”
n13096888,疫情未结束 台学者：大众运输可采会员制
n13096902,参照APEC模式 立委︰聘张忠谋、郭台铭任疫苗采购代表
n13096928,老谢：工业富联股价创新低 鸿海失中国优势
n13096964,台5000大企业 去年获利创新高
n13097000,疫情重创观光产业 台学者吁拟定疫后振兴规划
n13096997,鼎泰丰外带包装区员工染疫 新生店停业3天
n13096995,本土趋稳仍须留心Delta病毒 医吁两剂疫苗加边境管制
n13096992,台男“混打”三厂牌疫苗 陈时中：疫苗不是打越多越好
n13096990,车内“非同住家人”如何认定　陈时中坦言：很难查
n13096984,国台办会台商总领袖 学者：或是新一轮统战
n13096988,社教机构微解封 若有确诊场馆将关闭2周
n13097093,现以控制疫情为目标 陈时中：不排除及早宣布“降级”
n13097160,北市逾1.8万国小教职员 19日起施打疫苗
n13097053,法轮功反迫害22年 台美各界：向中共追责
n13097156,AIT处长口罩亲民 陈柏惟曝侨胞努力不懈
n13097154,EMU3000将抵台 东部干线运量增4成
n13097151,烟花袭台概率高 恐为强台
n13097147,卷入度假村餐厅群聚惹议 陈政闻辞政院南服执行长
n13097149,疫情期间 弱势求助个案增近3成
n13097026,阻共军犯台 前中共外交官：美国态度是关键
n13093175,法轮功反迫害22年 全球387万人促法办江泽民
n13098151,台风烟花是否侵台？气象专家说明预测路径
n13098247,双台已生成 将对台湾产生什么影响？
n13096658,德国记者获赠“疫苗贴纸” 台大医院红到国外
n13098609,台湾7/19增15例本土病例 1例死亡
n13098621,台湾高端COVID-19疫苗 卫福部核准专案制造
n13098779,美军机再度抵台 现身台湾桃园机场
n13098772,不参选基隆市长 许效舜：留在艺能界制造欢乐
n13098875,前韩团台湾成员曝辛酸 监控、整形还要陪酒
n13097235,法轮功反迫害22年 台湾主流赞佩
n13099159,疫情挫家族企业 应善用筹资管道永续发展
n13098843,【疫情7.19】英格兰今日起全面解封
n13099311,物流司机打疫苗遭取消 立委吁指挥中心关注
n13099344,台指挥中心：宗教活动酬神“有条件演出”
n13099342,补教业纾困缓慢 立委促教育部加速核定
n13099337,台达电股东会 看好电动车快速成长
n13099335,国防院研究PTT舆论 作者：仅对现象描述性分析
n13099029,720反迫害22年 台湾政要呼吁停止迫害法轮功
n13099484,有望降二级 苏贞昌：请秘书长协助盘整
n13099495,为保障升学权益 技术士检定延期须有配套
n13099493,台风烟花逼近 水利署全员整备防汛
n13099487,高端疫苗通过EUA  8月或可少量供应
n13099546,北市拟自购疫苗 侯友宜：已吁中央及早部署
n13099544,柯文哲抛自购疫苗 江启臣喊话“一起见蔡总统”
n13099542,北市9月新学期 拟采线上线下混合班
n13099379,美军机抵台 中共跳脚 涂醒哲：动动嘴而已
n13100143,【时事纵横】FBI通缉中共黑客 陆电瓶车炸成火球
n13100116,【新闻看点】美军机再飞台湾 中共4黑客被祭旗
n13100606,中华民国将在立陶宛设立台湾代表处
n13100700,吴钊燮：共机在台湾周边频繁演训引国际关切
n13101272,发现人变老的秘密 阳明交大：切丝蛋白是关键
n13101231,台湾7/20增18例本土病例 4例死亡
n13101331,吴亦凡陷丑闻损失大 宝格丽等13品牌急切割
n13101335,《全明星》成员合唱《对世界点头》为台湾打气
n13101407,外媒：立陶宛是抗共领头羊 应获支持仿效
n13100187,【探索时分】日本协防台湾 五大特点让中共忌惮
n13101563,东京奥运经济舱事件 台湾体育署长请辞
n13101833,台司法院：远距开庭万余次 法警优先打疫苗
n13101831,通知打疫苗又取消？台公总：仅调查预排
n13101788,7月夏电冻涨有望 传台政院22日拍板
n13101424,【疫情7.20】研究：印度400万人死于瘟疫
n13101818,本土+18 陈时中：病例年龄层有下降趋势
n13101829,来台9个月见证防疫《卫报》记者：住在这是福气
n13101822,出口畅旺内需惨淡 学者建议“选择性”纾困
n13101815,手机也闹晶片慌 外媒：Q2出货量季减10% 批发价喊涨
n13101813,幼儿园解封复课 台立委吁提供孩童快筛
n13101806,6月外销订单连16红 台统计处：下半年会更旺
n13101791,11金融股股东会登场 3公股机构改选
n13101798,即时阻断传染链 柯文哲：隐匿足迹将开罚
n13101795,蓝营告发图利高端 绿营：尊重司法
n13101974,居家上班没台风假 台劳动部：不出勤可视为旷职
n13101963,台人平均年逛超商137次 每次消费84元
n13101961,防疫商品贩售情形 台消保处经查30件违规
n13101942,减缓细胞老化 阳明交大：在切丝蛋白
n13101951,实价登录新功能 专家：增加找案件准确度
n13101940,“烟花”台风不排除侵台 恐在北部登陆
n13101953,教团吁纾困境外生 台教部：已规划奖助学金
n13101959,时力批太鲁阁事故报告避重就轻
n13101955,体育署长张少熙请辞 苏揆：东奥结束后究责
n13101936,东奥商务舱风波 苏贞昌：返国后咎责
n13101938,台湾基进：真心为选手着想 先住嘴加油
n13101932,国民党索取疫苗采购细节 公督盟：立场反复徒增纷扰
n13101934,代表团官员坐商务舱惹议 立委：应究责
n13102173,生医产业并购接轨国际 台湾三项发展动态
n13102170,2亿买70亿股票 民团质疑嘉里大荣有中资
n13102168,立委提艺文安心上工 李永得：盘点预算拟方案
n13102161,阿里敏感时机 蔡崇信豪掷1.57亿购纽约豪宅
n13102218,台风烟花增强为中台 台气象局说明最新情况
n13102224,首个以台湾为名欧洲外馆将设立 美中反应两极
n13103285,台风外围环流渐影响 北台下半天雨渐起
n13103293,吴德荣：台风烟花路径再改 中心登陆机会降低
n13102758,【新闻看点】美送台反击中共利器 亚洲军备竞赛
n13103354,王友群：中共外部环境更加恶化的九大表现
n13103830,台湾7/21增16例本土病例 5例死亡
n13103856,公开迷你屋意外成景点 宥胜盼保有隐私的距离
n13103970,美两党议员提新法案 促国民兵与台湾合作
n13104054,台湾将在立陶宛设处 学者：背后或有美国支持
n13104250,大陆水灾不断 专家：新城市没有地下水道
n13104206,美日韩重申台海和平稳定重要性 台湾高度欢迎
n13104091,【疫情7.21】研究：67%印度人有中共病毒抗体
n13104014,罗文裕女儿乱入直播间 手比“鱿鱼”融化万人
n13104506,乔友大火案消防员殉职 监委申请自动调查
n13104492,疫情三级警戒持续扫黑 警破40案逮290人
n13104503,资诚：娱乐业电影票房骤减71％受创最深
n13104498,疫后出游期望 调查：旅客先求有、不求多
n13104501,移工破71万 监委忧冲击台湾劳工促改进
n13104496,本土语言严峻流失 李永得：建构传承好环境
n13104488,青创贷款5年免息补贴 台经部：8月2日截止
n13104490,混打疫苗看法不一 学者举国外研究
n13104486,光电开发案破坏林地 立委忧台风造成危害
n13104554,疫调足迹隐匿 北市开出2张共22万元罚单
n13104556,台湾面临智慧转型 资策会：须重视数位调适
n13104558,产业损失503亿 侯友宜：支持庶民经济
n13104560,高端疫苗EUA 苏贞昌允公开审查纪录
n13104662,台风烟花逼近 气象局21日晚间发布海警
n13104874,郑州淹大水 多台厂营运正常
n13104575,日外相访台湾友邦多的中美洲 意在牵制中共
n13103379,【拍案惊奇】郑州洪水惊心 中共备战台海两原因
n13105054,中共威胁对日核武 涂醒哲：世界都在笑其蠢
n13105546,【新闻看点】郑州是内涝还是洪水 习淡化灾情？
n13104594,台风烟花状况变动 气象局：今天发陆警机会不高
n13106067,大陆郑州暴雨成灾 蔡英文对罹难者表达哀悼
n13106551,台湾7/22增30例本土病例 4例死亡
n13106651,台企东奥前夕日媒刊广告 感谢日本驰援疫苗
n13106842,比利时观光美食节国际大赛 台湾夺5金2银
n13107170,新北疫情解封 侯友宜：阶梯式缓降级
n13107234,台塑化股东会登场 下半年油价有望维持高档
n13106810,应对中共扩张 欧学者：台欧应合作打击假讯息
n13107324,烟花台风来袭 公总：7公路可能实施管制
n13107294,惨！6月多8.1万人没工作 失业率冲上4.8％
n13107546,烟花台风来势汹汹 翁章梁视察水利防汛整备
n13107301,台风烟花龟速前进 气象专家估今明最接近台湾
n13107665,【十字路口】河南洪水谁来扛？甩锅维稳4手段
n13107133,疫情期间房价反升 台立委吁财政部提囤房税
n13107168,北市防家户感染 柯文哲：居隔者23日起强制住旅馆
n13107186,开放失智社区服务据点 台指挥中心公布指引
n13107181,诊所怨打疫苗不能收挂号费 指挥中心：行政费用升至100元
n13107179,防Delta入侵 医师：死守边境
n13107177,打疫苗收挂号费 医师：需考量疫苗后段班县市
n13107172,健身房停业仍扣款 台消基会吁定指引防纠纷
n13107232,昇亿、上新与兆成3家保经 遭台金管会撤照
n13107223,美拟审查9大航运商 长荣、阳明在内
n13107236,高价值专利调查 台积电高价值专利胜过三星
n13107226,异地办公地点挑自家商旅 新光金、新寿遭罚款
n13107311,太鲁阁号事故调查报告 家属控：推托责任
n13107309,东奥经济舱争议 台立委吁订国手出赛契约范本
n13107322,企业营运不乐观 调查：疫情恐影响超过5个月
n13107326,疫后复苏 台传产职缺窜升五成
n13107228,疫情影响  6月银行房贷余额创今年新高
n13107306,台北每坪房价年增5.7万 北台湾房价酿涨价风暴
n13107313,军训役期过短战力堪忧 监院要求国防部改进
n13107315,疫情下暂停国内旅游  业者：补贴仍是杯水车薪
n13107317,疫情下为纾解民众焦虑 法轮功开办中文网上教功
n13107554,台科学城物流染红？外界忧半导体物流命脉遭掐断
n13107595,台指纹比对系统建功 一举突破20年前3悬案
n13108443,王友群：曾庆红是中共深层政府的“总导演”？
n13108723,香港快运开办直飞台北高雄航线 首航票价约千元
n13107712,【新闻看点】暴雨仍肆虐河南 多少人魂断5分钟
n13106155,台风烟花今天何时离台最近？会否发布陆警？
n13108849,苏贞昌：7月27日起台湾防疫调降为二级警戒
n13108776,时评员桑普鼓励港人：好好过 等运到
n13107732,星光二班女星喜诞女娃 为宝宝取苏格兰名
n13109284,台湾23日增23本土病例 27日降为二级警戒
n13108965,苏贞昌：7/27起调降为二级警戒
n13109523,台湾疫情警戒27日降到2级 各行业松绑一次看
n13109576,萨尔瓦多下令追缉前总统桑切斯 控涉重大贪腐
n13109665,台湾疫情警戒降为2级 双北仍不开放餐厅内用
n13109717,韩国演艺圈频传确诊 《机智医生2》停播一周
n13109839,适度松绑  台铁开放持定期票乘车
n13109842,台本土+23  最新定序仍为Alpha变异株
n13110162,鸿海将领军MIH电动车台湾队
n13110171,4职业工会欠缴劳保费 最高逾753万元
n13110136,吴钊燮赴海地驻台使馆慰问
n13110089,台政院加码莫德纳疫苗 江启臣：货到才是重点
n13110133,因应减碳趋势 立委吁零碳排、碳定价入法
n13110129,柯文哲：北市餐饮内用需多等1周
n13110570,【时事军事】中共底线被美军行动越踩越烂
n13110260,从郑州洪灾看数位监控 专家：民众被遗弃
n13110583,美副卿访华前 中共深夜制裁美国人和实体
n13111330,共谍案未明 新党王炳忠等5人限制出境8个月
n13111568,烟花台风海警解除将现大雨 专家：慎防致灾 不容小觑
n13111479,反制中共 美国务院吁理念相近国家公开挺台
n13111758,台湾7/24增24例本土病例 2例死亡
n13111805,蔡英文：台日紧密连结好邻居 全力挺东京奥运
n13111827,外媒：台湾频遭网攻 多数能抵御但仍须备战
n13111942,武力犯台？专家：中共6年内拿不下台湾
n13113322,你中奖了吗？110年5-6月统一发票兑奖资讯
n13113391,台湾7/25增12例本土病例 0例死亡
n13113623,东奥台湾首面！ 台中柔道好手杨勇纬夺银
n13113710,餐饮业何时现曙光？ 台专家：待开放内用
n13113801,台本土增12 陈时中：不明感染源相对少的一次
n13113799,纾困救急优先 江启臣吁普发现金
n13113755,【疫情7.25】英格兰解封后周病例降42%
n13113846,花9千万做旅游VR挨批 台交通部：为疫后观光准备
n13113907,AZ＋mRNA可混打？陈时中：专家共识
n13113924,疫苗该不该打第三剂？
n13113895,再发振兴券？ 台立委：希望帮到实体店家
n13113912,防疫降至二级 苏贞昌：不是取消警戒不能松懈
n13113901,台积电股东会26日登场 聚焦5大议题
n13113904,家族企业突破疫情 KPMG提三建议
n13114031,新北市议员唐慧琳罹癌过世 蓝营哀悼不舍
n13114015,游锡堃：已建议郦英杰 美国应对中共划红线
n13114135,末代指考本周三登场 近4.1万人报名创新低
n13114131,烟花台风远离台湾 农粮署：蔬果价格渐回稳
n13114121,时代杂志世界最佳百大景点 台北获选文化宁静城
n13114119,外籍船在台丢包船员？ 航港局：无暴增情形
n13114117,北市推线上线下混合教学 各校可弹性处理
n13114258,西南风水汽移入 近一周中南部易有短暂雨
n13114254,新学期如何上课？ 北市推线上线下混合教学
n13114256,配偶境外生产仍可请陪产假 公务员比照办理
n13114033,我东奥入场顺序为台北？ 永山英树：主办单位确认是台湾
n13114201,东奥跆拳道57公斤级 罗嘉翎踢下铜牌
n13115598,台湾7/26增10例本土病例 0例死亡
n13115754,相隔17年 台湾射箭男团再闯奥运金牌战
n13115816,政院：若疫情持续趋缓 振兴方案最快9月上路
n13115850,东京奥运台湾再添一面奖牌 射箭男团摘银
n13115828,台湾塔江军舰27日交舰 可打击中共攻台航母
n13116075,后疫新生活 高市纾困方案延至年底
n13116223,警戒降级 离岛航班运能拟8月提升
n13115314,作者无惧中共压力 《黑手》中文版在台湾出版
n13116225,进口250片以下自用口罩 即日起免输入许可
n13116221,今起第四轮疫苗预约简讯 计144万人
n13116204,疫情警戒降至二级 侯友宜：监测异常就紧缩政策
n13116462,教授赴中任教、干预学术自由 监院纠正台师大
n13116454,物理、数学奥赛传捷报 主办国立陶宛直称台湾
n13116294,【疫情7.26】江苏疫情反弹 蔓延四省
n13116446,防疫降级 幼教、补习班师资需求增
n13116452,民众党休会期邀部会报告 民进党团称违宪
n13116339,台积电股东会谈海外布局 德国或成下个地点
n13116434,忧疫苗副作用影响 台教团吁暂停施打后活动
n13116432,台湾六都住宅交易首重大楼
n13116422,日本疫苗护照 台湾不适用
n13116345,美副国务卿访中 专家：美对中整体战略一环
n13116616,澎湖放宽管制措施 8月航班调整至17班
n13116611,东奥羽球女单小组赛 戴资颖轻取对手二连胜
n13116604,北市补教业快筛补助每人350元 北车一楼停业3天
n13116419,疫情纾缓 振兴方案最快9月上路
n13117614,捷克宣布赠台3万剂疫苗 台湾：由衷感谢
n13118189,台湾7/27增16例本土病例 1例死亡
n13117745,萧美琴与捷克驻美大使互展厨艺 展现台捷友好
n13118550,举重郭婞淳3创奥运纪录 夺台湾东奥首面金牌
n13118483,台湾东奥首金 郭婞淳抓举挺举总和都创纪录
n13118252,台俄首度合作戏剧 郭雪芙、蔡凡熙赴冬宫拍戏
n13117586,【探索时分】澳大利亚也要协防台湾？
n13118982,台买BNT须经中国代理商 违反WTO精神
n13118988,八大行业仍未开放 降级首日北市警扩大临检
n13118986,武岭观景台限52人 合欢山区停车数降载
n13118984,专家乐观看警戒降级 社区流行概率低
n13118563,【疫情7.27】研究：美实际病例或达6500万
n13117895,余苑绮癌症复发 经手术17小时煎熬后崩溃大哭
n13118971,北市公布普渡指引 禁止绕境、平安宴
n13118979,即起开放疫苗意愿登记 20岁以上可选高端
n13118977,六都防疫表现 侯友宜高居第一
n13119040,全中教吁高中职教师7月底前施打完成
n13119038,台南铁路地下化进度过半 目标2024营运
n13118329,谢金河：防疫新生活 体悟人生放慢脚步又何妨
n13118855,庆郭婞淳夺金 立委刘櫂豪236杯饮料请客
n13118852,18年前抗煞巴士驾驶 再度重返第一线
n13119243,空运走私毒原料 检警溯源逮金主
n13119237,台湾东奥首金！ 郭婞淳举重金满贯
n13119225,科学城物流涉中资 时力吁投审会立即查
n13119222,阻洗工争议 劳动部拟修法 劳团批黑箱
n13119196,台湾举重东奥夺金 运动科学团队为幕后功臣
n13119798,分析：日本频繁高调支持台湾 令中共烧心
n13120417,戴资颖晋级8强 首要课题减少失误
n13120541,陈玟卉心情三温暖 东奥举重夺铜喜极而泣
n13120477,台湾百余名政要LINE惊传遭骇 国安会调查
n13120907,台湾7/28增18例本土病例 0例死亡
n13120702,台前副防长遭爆与共谍餐叙 国防部：未泄密
n13120910,庄智渊不孤单 只身奋战近百万观众陪伴
n13121165,谭雅婷回应酸民：不该随意批评努力的运动员
n13120956,外媒赞台湾：地图找不到的奥运夺牌神秘队伍
n13120920,撞脸郭婞淳 夏于乔标记宋芸桦：我们沾金了！
n13121268,超犀利趴首度取消 阿信创作新歌宽广以对
n13121336,桌球男单林昀儒晋4强 挑战单届两面奖牌
n13121261,【疫情7.28】南京疫情爆发地多患者打过疫苗
n13120704,台湾塔江舰交舰防空火力强 捍卫台海添生力军
n13121507,东奥代表团首批选手返台 杨勇纬与罗嘉翎成焦点
n13121701,台中研院：今年经济成长 估GDP5.05%
n13121739,后疫情旅游 台学者提出6趋势
n13121737,劳动部：因疫情停业不影响劳退
n13121734,侯友宜：7月底打完疫苗 8月1日暂停施打
n13121731,北市长照机构打疫苗仍群聚感染
n13121796,台末代指考登场 物理近5年最难
n13121794,疏失造成核二厂2号机停机 台电：追究责任
n13121792,防旱善用水资源 专家：地下水是关键
n13121799,台消促会：乔友消防员殉职调查会勿再拖延
n13122011,台美日国会议员战略论坛登场 强化三边关系
n13122072,李登辉辞世一周年 安倍透露想访台扫墓
n13122013,李秉颖：变异病毒适当防疫也能控制度
n13122812,【秦鹏直播】美再发现中共核武库 台曝最大共谍案
n13122442,王友群：中美天津会谈或带给世界四大意外好处
n13123212,用举重夺菲律宾首金 狄亚士曾在鼓山高中备战东奥
n13123187,美众院通过国务院拨款法 拒中共地图含台湾
n13123240,美参院外委会通过法案 将助台湾重返世卫
n13123291,台美日国会论坛 吁强化三边关系联合抗共
n13123822,王齐麟李洋男双闯进东奥4强 写下台湾第1次
n13123862,台湾7/29增16例本土病例 0例死亡
n13123844,美军驱逐舰通过台湾海峡 今年第七次
n13124117,林昀儒激战7局不敌樊振东 东奥桌球男单将争铜
n13124114,北市公布餐饮内用标准 室内50人个人餐为主
n13123905,安倍晋三：发生在香港的事不能在台湾发生
n13123185,美参院外委会通过助台湾重返WHO法案
n13123412,美众院通过法案禁中国地图含台湾
n13123714,陆媒“中国台北”被国际媒体打脸 政院：台湾主权独立国家无庸置疑
n13123975,台立委：振兴不是扩张内需 锁定4行业协助脱困
n13124182,前澳洲总理：美及盟友须表态干预阻中共犯台
n13124566,林昶佐二度遭提案罢免 罢免团体：无政治色彩
n13124561,台本土增16例 多数为已知感染源
n13124617,表演走向数位化 文化部长：重要里程碑
n13124614,台美日国会论坛 安倍：香港现状不能在台湾发生
n13124612,阻绝“幽灵包裹” 消基会：应从源头管理
n13124556,振兴券变5倍？台政院：还在讨论中
n13124293,东奥会“台湾”和“中华台北”引议 民众怎看
n13124559,内政部利用建物登记分析 住宅闲置率
n13124543,台政院︰通过“强化社会安全网第二期计划”
n13124545,确保疫苗预约民众权益 指挥中心吁依计划施打
n13124746,ETC推停车行动支付 流程快如简讯实联制
n13124607,收港资政治献金 台退役中将罗文山遭判2年定谳
n13124772,【十字路口】史上最大共谍案 中共谍战五诡计
n13125189,美舰再穿越台海 胡锡进气急呛美 网民嘲讽
n13125948,揭林昀儒桌球成长史 林父：盼儿要敬天、敬人
n13126212,东奥25公尺手枪 田家榛吴佳颖挺进决赛拼首面奖牌
n13125637,【横河观点】南京疫情蔓延 挑战中共式抗疫？
n13126288,哥国女选手赛前大喊“马英九”？ 网友求解
n13120885,100%废金属制奖牌 东奥提醒：别再咬了！
n13121590,台湾7/30增21例本土确诊 嘉义高达9例
n13126155,谢金河：监管风暴或让大资金重评投资中国
n13124553,人权会法制不周 陈菊：盼共同展现专业发挥功能
n13124751,本周末将有密集降雨 可能会到下周
n13124396,科学城物流有中资疑虑 台时力：审查实质影响力
n13126274,追思李登辉 蔡英文：民主之路会坚定走下去
n13126897,鱼丁糸推新辑 青峰叹：不知会不会有下一张
n13126894,美议员吁美台加强供应链合作 解决晶片短缺
