n12565076,五中全会进京被截访 上海访民：维权到底
n12109744,【纪元播报】中共内部密集通知曝蓄意瞒疫情
n12115226,欧美民间人士就疫情十问崔天凯 加议员转发
n12117242,疫情下北京信访机关关闭 截访依然猖獗
n12120631,中共国家信访局关闭 大批访民被送往久敬庄
n12123254,重庆公民记者在天安门游玩 被警察带走
n12123695,新一波疫情在中国爆发 与上一波有三大不同
n12124357,回击赵立坚？川普：请跟这笨蛋解释一下
n12124821,疫情让全球清醒 蓬佩奥：中共是个残忍政权
n12122662,让世卫独立调查中共的结果为何不可信？
n12129617,遭中共官媒刻意曲解 哈佛教授：病毒源自武汉
n12131980,孔杰荣：推港版国安法是北京绝望的标志
n12135536,美参议员警告中共系好头盔：我们不会退缩
n12135953,【一线采访视频版】吉林爆疫情 舒兰公安局关门
n12136005,【一线采访视频版】武汉军运村变方舱 业主抗议
n12136080,王毅提中美新冷战 外媒：是中共发起的
n12138235,YouTube删反对五毛的评论 克鲁兹：令人不安
n12141140,美议员解读蓬佩奥声明：30年对华政策全失败
n12144343,美议员提议给香港人第二类优先难民身份
n12144588,川普签行政令阻社媒审查言论 限制中共宣传
n12145915,上海志愿者写访民日记 记录两会期间维稳案例
n12146704,美英周五在联合国提港版国安法问题
n12148652,川普取消香港特惠待遇 冲击中共金融领域
n12158858,北京6/4凌晨 蓬佩奥公布天安门幸存者会晤照
n12158878,中共封锁六四事件 赵立坚涉台回答也遭删
n12159007,美国务院发六四声明 向勇敢的中国人致敬
n12167053,雄安新区征地“以租代征”村民维权遭训诫
n12172233,中共国家信访局重新开放 涌入大量访民
n12173689,中印边境冲突引发双方媒体大战
n12178603,美议员：保护美国科技与资产 向中共问责
n12179151,美议员要求Zoom选边站 要原则还是利益
n12181521,【视频】北京昌平强拆别墅 业主财产遭洗劫
n12183254,北京欧北木屋村遭900名防暴保安强拆
n12183422,逾1300中国医疗厂商在美共用一家假代理
n12188209,揭中共瞒疫 美众院公布首份武汉病毒调查报告
n12192494,传中共军人持盾牌铁棍 莫迪：印度兵不会白死
n12193167,印度电信部禁中企投标 禁中国产电信设备
n12196307,水攻与狼牙棒 中印边境战更多细节曝光
n12197794,【现场视频】广西省柳州市强拆打死86岁老人
n12208268,昌平市民头绑布条 抵抗当局疫情期间强拆
n12210126,小粉红们回国无门 感受党宣跟现实的距离
n12212312,河北上千村民与警冲突 抗议拆迁赔偿不公
n12214209,端午北京多区强拆 未成年人被骗做“黑保安”
n12222805,中共港版国安法有哪些争议性内容
n12230907,应对近期两大社会热点 中共对媒体下密令
n12236842,河北数百村民起诉讨要被占土地 代表被抓
n12247758,香港民主派周末初选投票 有哪些关注点
n12248804,先锋网信爆雷一周年 数百投资人上海维权
n12255258,【现场视频】政府藉疫情敛财 北京大兴爆冲突
n12266030,河南洛阳拆迁队半夜进村 棍棒高压水枪开路
n12265894,蓬佩奥谈川普接见宗教受迫害者背后故事
n12269966,法轮功学员21年反迫害 比利时政要支持
n12270503,美国务卿：中共迫害法轮功21年 必须停止
n12270598,美国会议员：结束中共对法轮功的不公迫害
n12290288,【一线采访】大连核酸检测再爆冲突 现暂停
n12292323,多访民进京被失联 截访大军充斥国家信访局
n12292457,天津渤商所钜额欺诈案 受害人举报公安部
n12295199,杭州垃圾厂污水接自来水 村民维权遭暴力抓捕
n12311289,北京警方地毯式大蒐查 多名访民被截走
n12311435,【一线采访】北京上百小区遭大规模强拆
n12314339,【一线采访视频版】中共黑手伸向中产阶级？北京民宅被强拆
n12318912,北戴河警戒森严 重庆八访民被强制遣返
n12319313,北京警察当街截访 110访民被送久敬庄关押
n12325438,湖北潜江集资诈骗200亿 受害人指官商勾结
n12328029,不明中国种子进展：包裹含有害物种和虫卵
n12333250,老访民：只“挂号”不“治病”是何制度？
n12334682,【一线采访视频版】向中产下手？业主：中共是土匪起家
n12339829,上海37访民进京告状 半夜在旅馆被警拖出
n12347751,访民倡议取消国家信访局 成立自助维权协会
n12350182,李克强重庆视察 警察忙着绑架冤民
n12363821,【一线采访视频版】四川乐山洪水来袭 14户遭灭门
n12365179,试验未完就先占领市场 中国产疫苗安全堪忧
n12370716,山西平遥古城百余户祖屋遭强行“共产”
n12370380,内蒙强推汉语教学引爆大规模罢课和抗议
n12371273,【视频】蒙古族教师保护母语 斥国保骚扰
n12373233,【一线采访】内蒙罢课逃校 当局强令维稳
n12373348,【时事纵横】内蒙数万人抗议 美解密对台六保证
n12372794,北京开服贸会 安检升级 火车上访民化妆品被收
n12358574,【欺世大观】唐山1976年大地震死多少人？
n12375770,【薇羽看世间】内蒙抗争 抵制文化灭绝 　　
n12376127,内蒙古广播电视台300员工摁手印 吁保护母语
n12376245,【时事纵横】王毅出丑 蓬佩奥：将大动作反共
n12381567,美媒女记者内蒙采访 遭警察勒喉推搡
n12381285,【时事纵横】习近平五个绝不答应 网络炸锅
n12382832,广东增城街道办盗卖集体土地 再偷拆村民房
n12385988,【一线采访视频版】拒灭绝文化 内蒙1.8万人联名抗议
n12389177,进京问责国家信访局长李文章 上海访民被截
n12390106,湖南300老兵省政府维权 近百人被抓
n12408810,继内蒙后 中共又在朝鲜族地区强推汉语教学
n12410052,上访无门伸冤无路 上海访民信访局前控诉
n12411001,泉州市打击实名举报者 花巨资维稳
n12407425,【一线采访视频版】内蒙再现文革 中共欲铲除蒙文
n12419159,十一将至 中共严禁访民滞留北京 被指流氓
n12421988,上海五百多访民联署 向当局提出双诉求
n12422790,【一线采访】北京四十多位访民申请游行遭抓捕
n12422811,中共西藏设再教育营 藏民须参加军训穿军装
n12424052,当局制造零上访 将北京访民挡信访局门外
n12425158,蓬佩奥：中共妄图打种族牌 逃避美追责疫情
n12432251,十一临近 上海访民北京公交车上被拦截
n12436411,北京公安部信访接待室前发生群体事件
n12438023,Wotoken平台诈骗案 受害者求偿无门
n12444305,【一线采访视频版】北京数十位访民申请游行被抓
n12446676,美政府报告：中共强迫劳动生产远甚于他国
n12460001,【一线采访视频版】老板卷款跑路 辽宁博创学校倒闭
n12476072,疫情下中共加重网络监控 全球自由度排名垫底
n12477848,【一线采访视频版】青岛瞒疫 新疫情十一前爆发
n12487474,【一线采访】优胜教育爆雷 逾千家长老师维权
n12489864,【役情最前线】北京爆发群体抗议
n12491513,机油污染馒头 河南数十名学生集体中毒
n12492029,【一线采访视频版】广州度假村酒店现疫情被封
n12497543,13位律师因反映案情被广西南宁派出所扣押
n12494946,雄安新区拆迁血泪真相：特警殴打抓村民
n12508576,【一线采访】上海浦东现疫情 管控全面升级
n12511119,中共五中全会结束 各地访民持续被监控中
n12514453,【一线采访】“城城找房”多地爆雷 三方维权
n12515883,常熟农行爆百余员工肺结节 市值蒸发60亿
n12517278,五中全会期间 重庆母女进京上访被截遭殴打
n12521999,五中全会期间进京 湖北三访民遭关黑监狱
n12520277,逾两百访民实名要求撤销北京截访集中营
n12525504,成都街道强征 上百联防队员开路 村民被打
n12527603,云南最大商贸城租金暴涨 数万商户罢市抗议
n12529633,【一线采访视频版】访民五中全会被抓：中共行径引警民反弹
n12532756,大陆房产消费纠纷四起 多地业主集体维权
n12925710,“追查郭宏伟死亡真相”联署人遭公安恐吓
n12933752,西安最大古村临强拆 数千黑保安围村逼迁
n12940649,调查：苹果七家中国供应商疑涉新疆奴工产品
n12942176,3名东北访民在北京上访 遭截访人围追堵截
n12942437,北京国家信访局门口一男子汽油浇身自焚
n12943785,捍卫人权 美英德与中共在联合国交锋
n12945508,重庆维权公民逾30人在北京遭集体遣返
n12946091,报告：中共趁疫情加大操控全球舆论
n12949265,进京被截访者暴打重伤 重庆人成立关注团讨公道
n12951172,新疆产太阳能板涉强迫劳动 拜登政府考虑制裁
n12951123,重庆业主维权遭镇压 怒砸街道办
n12950861,甩锅境外势力？成都49中事件曝中共危机
n12962918,大陆访民维权遭打压 出狱后与当地访民抱团取暖
n12967533,上海开花博会 多名维权公民被围堵拦截
n12977734,拜登令情报界90天内出明确病毒起源报告
n12980451,报复制裁前美官员 布林肯谴责中共恐吓行为
n12985615,重庆驻京办设黑监狱 许多访民曝遭打手毒打
n12989425,中共计划生育受害者为供娃上学 命丧甘肃越野赛
n12992021,被遗忘的百年历史（IV）1990 至2009
n12997744,蓬佩奥：调查武汉病毒所遭内部激烈反对
n12998477,上海访民联署要求颁发访民证 发起人遭警告
n13005910,江浙独立学院转设政策引爆学潮 当局急喊停
n13008513,【役情最前线】六四之际苏浙爆学潮 现手机灯海
n13012215,进京遭拦截 多名重庆访民遭殴打成伤、失联
n13012239,湖北军嫂在中央军委信访门口遭绑架
n13013172,北京警察夜间清理访民 辽宁姜家文被带走
n13013665,中共百年江浙爆大规模学潮后 警仍驻守校园
n13001609,被遗忘的百年历史（V）2001至2005
n13016473,广州南沙居民区被设隔离点 引发民众抗议
n13018008,【财商天下】敏感期爆学潮 为生存讨说法
n13022376,中共倒楣的一周 国际上遭谴责国内事故频发
n13026844,拜登：跟习近平不是老朋友 纯属业务关系
n13030451,7.1敏感日临近 在京访民被警告不要发消息
n13032199,消息：中共拟2025年完全取消生育限制政策
n13040571,依赖中国疫苗的数个国家疫情严峻 警示世界
n13041887,学生仿革命手段维权 内部文件泄中共恐慌
n13046141,中共为建党百年删记录 “不让人知道其历史”
n13048820,美中国通：中共在焦虑中等待百年 时刻忧垮台
n13050533,国际反酷刑日 民主人士抗议 纽国中领馆摘招牌
n13053641,7.1前北京进入最高战备 井盖也安检打封
n13054384,众议院通过科研法案 让美国更具竞争力
n13056454,遭中共跨境威胁 留学生：在澳洲我仍不自由
n13058263,湖南数百业主市政府前维权爆冲突 多人被抓
n13058858,闫丽梦：丈夫来美协助中共 想让她消失
n13061768,美国年度人口贩运报告 中国仍列最差国家
n13062110,抗议中共暴政 新西兰华人民主人士焚烧党旗
n13063319,祭奠上海维权人士陈小明 11访民被公安带走
n13072523,香港学界有黑名单？岭南大学变相辞退敢言学者
n13084114,古巴爆结束共产政权抗议 白宫和美官员力挺
n13084685,美发布种族灭绝和暴行预防法报告 首度评估中国
n13084366,几经辗转突破困境 四维权人士探望郭宏伟父母
n13086813,蓬佩奥谈中共百年：习和中共不敢提及的历史
n13091682,重庆上千业主因车位问题爆发警民冲突
n13092101,兰德报告：缺乏管理腐败盛行 中共军事难发展
n13091430,“中共网络维稳培训课程”曝光 网民揪出五毛
n13093498,厦门如家酒店回应暗藏摄像头 网友质疑
n13094713,武汉拆迁引发重大血案 官员被刺 二死一伤
n13096051,和戴琪不同调？耶伦称对华关税伤害消费者
n13100132,美国敦促中共立即停止对法轮功的镇压
n13102310,跨国议会联盟声明 谴责中共迫害法轮功22年
n13102781,蓬佩奥：美应引领世界 要中共停止迫害法轮功
n13103309,科技智库：中共限制跨境数据流动 为全球之最
n13111444,起诉五中共研究员签证欺诈 美司法部撤销指控
n13128082,美智库：河南水灾凸显中国的基础设施问题
n13136939,分析：中共掩盖Delta疫情 真实情况恐更糟
n13138448,北戴河会议期间 访民遭严控 自由受限制
n13161660,分析：Delta疫情挑战中共“清零”政策
n13171392,北京信访局外 24名维权人士无声抗议
n13175001,中共关闭美在华劳工审计公司 箝制独立调查
n13215732,申请访民证无果 上海访民拟集体告政府不作为
n13218568,村霸滋事扰民敲诈未遂 河北四村民被抓
n13219388,P2P清零讨不回本金 大陆各地爆维权潮
n13226974,【一线采访】各地受害人涌向恒大公司讨钱
n13227780,【一线采访】三星宁波撤资 逾千工人维权
n13229104,恒大财富暴雷 高管承认提前赎回惹众怒
n13231523,受害人深圳恒大总部维权遭清场 维权群遭封杀
n13232765,成都数百人游行要恒大还钱 警抢横幅爆冲突
n13236184,各地老兵在北京中央军委维权 137人被抓
n13237097,【新闻看点】福建疫情仍严重 传许家印突进京
n13237417,受害人：恒大理财商品涉自融诈骗
n13240672,重庆访民向中央督导组伸冤遭抓捕
n13244483,恒大受害人患病求兑付被拒 维权遭警传唤
n13250577,分析：习要强化政府控制权 为企业利润设限
n13255782,传中共要求地方为恒大倒闭做准备并监控民情
n13256371,恒大美元债息到期 支付无音讯 投资者焦虑
n13260228,用包机接孟晚舟回国 网民估花了多少钱
n13264661,中共地方政府首次表态调查恒大理财产品
n13264667,美议员致信司法部长：为何撤销中共军人案
n13265320,分析：孟晚舟暂缓起诉协议是如何达成的
n13267260,中共限电限产政策拖累全球供应链
n13275152,美驻华大使馆刊发孟晚舟延期起诉协议中文版
n13277025,出国打工却成偷渡客 五中国工人马来西亚受审
n13281280,无神论统御的基督教王国
n13295215,宁波数百业主围堵平安银行 讨血汗钱
n13302921,恒大危机 专家：中国房地产疯狂时代结束
n13307574,前印度外交官：中国形势不乐观 内外交困（上）
n13313606,中国房地产不景气持续 易纲讲话透露啥信息
n13332091,消息：电力危机引发中共内部政治争吵
n13334714,消息：白宫将推气候新规 无论国会是否支持
n13337555,资助武汉蝙蝠研究 美机构称符合NIH拨款要求
n13340942,六中全会将至 北京开始清理访民
n13344868,中共公安部以疫情为由拒绝黑龙江访民进入
n13348274,六中全会前一周 国家信访局外已不见访民
n13348558,【一线采访】河南平顶山上千公交司机罢运讨薪
n13351876,台驻美国防专员：若遭入侵 台军将战斗到底
n13356581,瑞丽清零政策下 “普通人没办法生活”
n13357986,六中全会前 多名维权人遭绑架失踪
n13362794,六中全会首日 网民国家信访局前实录
n13362935,分析：习近平扩权 地方官盲从 砸锅风险加大
n13372841,【一线采访】重庆数千司机罢工 要求降承包费
n13377338,湖北多位访民进京后遭当地政府长时间隔离
n13377970,寒门更难出贵子 中国底层升迁路几近停滞
n13391773,彭帅公开亮相避谈失踪缘由 胡锡进打哑谜
n13398779,分析：让明星失踪 中共有专门套路
n13401007,第三次分配 中产阶级受重击
n13409420,中共监视美国校园 利用线人压制异议（1）
n13411039,前世界网球冠军：等着彭帅的故事被揭示出来
n13411393,逾六百中国账户散布COVID假消息 遭Meta移除
n13413329,胡锡进称WTA剥夺彭帅自由 章家敦：颠倒黑白
n13415739,滴滴退市 中概股进入与美国市场脱钩新阶段
n13417301,特斯拉想要中国市场 中共想要自己的特斯拉
n13420493,中共建党百年后 越发全面掩盖政经真实信息
n13422595,卢比奥要求Airbnb下架新疆建设兵团出租房信息
n13425410,施压北京 美众院一天通过三项中国人权法案
n13425652,抵制北京冬奥 美国众院通过决议案再施压
n13430837,中共经济会议连提25个“稳”字的背后
n13431056,人权日 逾二十访民进京高呼：人权高于主权
n13437261,华为机密文档自曝参与多个中共监控项目
n13440020,浙江祭清零政策 恐冲击供应链拖累全球经济
n13440430,DNA论文被国际期刊撤稿 9合作者为中共警察
n13449138,上海公安局招标 雇用企业操纵脸书和推特账号
n13449451,美国宣布制裁五名香港中联办副主任
n13456180,英特尔向中国客户道歉 为何外企谨言慎行
n13458509,专栏作家：中共用武力试探西方 我们不应退缩
n13459864,报告Omicron变种的科学家说 中国清零政策没用
n13462248,李田田下落成谜 维权律师及声援者遇袭失联
n13463012,SpaceX卫星贴近中国太空站？小粉红攻击马斯克
n13465630,太空拥挤？国际空间站多次闪避中国卫星碎片
n13467302,德外长不参加北京冬奥 吁欧盟禁止奴工产品
n13468261,美涉疆法律尚未实施 山姆店即遭小粉红抵制
n13469248,探访李田田失联的网民已回家 警方续查联署人
n13470109,美律所评估 涉疆法案影响近1200亿中国货出口
n13470161,马斯克驳斥北京的SpaceX挤压对手说法
n13470340,陈光诚：任何民主国家都不应参加北京冬奥会
n13473152,中纪委敲打山姆会员店 背后意思是什么
n13473897,山东官员王丽事件发酵 网民统计受害者名单
n13475177,中共监控海外重大舆情 要求直接打网信办电话
n13481925,美染疫死亡率是中国八百倍？专家揭中共造假
n13482841,上海26访民进京被拦截 11人失联
n13487006,孕妇求医被拒引民愤：人民不想要这样的政府
n13490985,世茂集团在三条红线内 也出现违约问题
n13498142,中国多地封城冲击工厂港口 供应链雪上加霜
n13500341,外界关注：二十大前中共政局有啥动态？
n13516784,关注胡新成文章遭删 网民被警告不得转发讨论
n13523009,分析：中国房地产市场情况到底有多糟
n13526799,清零政策下 许多中国家庭被迫三年分开过年
n13526862,北京冬奥会塑造天气：人工降雪 制造蓝天
n13545455,分析：中共利用小恩小惠 暗中在民间搞宣传
n13546856,新年无法与家人团聚 无奈的中国访民
n13547337,想借奥运宣传 疫情和人权恐让北京希望落空
n13557553,中共清零政策影响进口 有一种水果特别遭殃
n13556047,权威专家：冬奥会或让习近平付出超高代价
n13562184,华裔选手冬奥遭遇烦恼：血统是负担还是利好？
n13563418,北京冬奥 各地访民再遭暴力截访
n13564736,尼泊尔政府外泄报告 指控中共越界侵占领土
n13564825,美学者：中共列宁式刑罚体制30年原样未变
n13568985,恒大副主席在危机曝光前清仓 套现逾5千万美元
n13571165,中共隔离监禁异议人士“冬奥是重要政治事件”
n13576585,分析：中共没能从冬奥赢得朋友或名声
n13582309,陈巍、谷爱凌、朱易在冬奥遭到不同“审查”
n13587980,中共满屏捧谷爱凌 封杀八孩母消息 网民不满
n13592639,公益人士吁彻查铁链⼥事件 联署人数已逾千
n13597784,温州教授吁设“打拐年”倡议书 20分钟被封杀
n13606281,两会前各地不断截访访民 访民网上求救
n13622785,北京两会 外界聚焦经济目标、疫情政策及乌克兰
n13623432,从冬奥到两会 各地访民不断被绑架、软禁
n13629332,三八妇女节 网民呼吁改用“铁链女”头像
n13642418,知情者曝华亭因管理疏失引爆上海疫情
n13673940,铁链女事件调查四天完成 江苏调查组遭投诉
n13674223,核酸检测后不适 大陆民众吁当局考量生命安全
n13679402,上海封控引关注 专家：中共的目标相互冲突
n13682069,女法轮功学员被迫害致死 美议员谴责中共
n13684255,收紧学术交流 中共禁止学者参加线上国际会议
n13683669,不满一刀切封校 大陆高校学生挂横幅发帖抗议
n13685186,中共“清零”民众难忍 中国各地抗议不断
n13686881,分析：上海封控 恐影响习近平盟友入京计划
n13687562,网上流传惠州警民冲突视频 网民被约谈
n13687060,上海老人院多人染疫身亡 六辆灵车半夜拖尸
n13687784,美国会CECC年度报告：中共严重侵犯人权
n13688098,上海防疫政策转向 胡锡进跟着“变脸”被批
n13689201,大陆逾半省及直辖市访民被禁入国家信访局
n13693937,洛城侨民忧亲友：上海成了大监狱
n13702771,分析：上海封城成北京当局目前最大危机
n13705925,美卫生问题专家：中共要国人跟清零政策共存
n13707573,美国人的上海封城日记：我成了运食物的大白
n13709373,美国下令驻上海领馆所有非紧急人员撤离
n13709482,美专家：中共强制清零 封城让民众付出代价
n13711002,清零政策下 中国人学会反着听宣传和自救
n13713349,观察人士：上海疫情成中共二十大博弈焦点
n13715646,上海封城日记：计划供应 以物换物 饥饿焦虑
n13716893,重庆为修筑高速路 无预警出动数百特警强拆
n13717318,上海高龄老人被强行送方舱隔离 民间哗然
n13722760,分析：清零政策进十字路口 北京进退两难
n13723244,南宁三大楼盘旁建垃圾站 业主抗议起冲突
n13724894,居民难忍长期封城 上海爆发大规模抗议活动
n13738685,央视称美民众对抗疫不满 网民讥讽脸比城墙厚
n13738981,抗议当局取消提前放暑假 苏州学生被约谈
